FILE,,VEHICLE INFO,,,,,,,,,TEMPLATE NUMBER,,,,,,,,,,,SIZE (1:20 Scale),,,NOTES,
Count,Segment,Make,Model,Year,Trim (Series),Count (U.S.),Cumulative %,Remove Trim Unique ID,# of different templates,Count ,a,b,c,d,e,f,g,h,i,j,k,Size 1,Size 2,Size 3,,
1,Pickup - Full Sized,Ford,F150,2018,Unspecified,"689,436",,FordF1502018,6,1,602,603,604,605,606,607,,,,,,"3.2191""w X 1.1761""h",,,Opened File and Checked DIMs,
2,Pickup - Full Sized,Ford,F150,2013,Unspecified,"624,707",,FordF1502013,6,2,300,301,302,303,304,305,,,,,,"3.2097""w X 1.1973""h",,,,
3,Pickup - Full Sized,Ford,F150,2016,Unspecified,"545,657",,FordF1502016,6,3,602,603,604,605,606,607,,,,,,"3.2191""w X 1.1761""h",,,,
4,Pickup - Full Sized,Ford,F150,2014,Unspecified,"536,025",,FordF1502014,6,4,300,301,302,303,304,605,,,,,,"3.2097""w X 1.1973""h",,,Opened File and Checked DIMs,
5,Pickup - Full Sized,Chevrolet,Silverado 1500,2014,Unspecified,"460,147",,ChevroletSilverado 15002014,5,5,160,161,162,163,164,,,,,,,"3.1138""w X 1.1315""h",,,,
6,Pickup - Full Sized,Ford,F150,2015,Unspecified,"454,216",,FordF1502015,6,6,602,603,604,605,606,607,,,,,,"3.2191""w X 1.1761""h",,,Opened File and Checked DIMs,
7,Pickup - Full Sized,Ford,F150,2004,Unspecified,"452,318",,FordF1502004,11,7,245,246,247,248,249,250,251,252,253,254,255,"3.1905""w X 1.2941""h",,,Opened File and Checked DIMs,
8,Pickup - Full Sized,Chevrolet,Silverado 1500,2015,Unspecified,"431,578",,ChevroletSilverado 15002015,6,8,160,161,162,163,164,165,,,,,,"3.1138""w X 1.1315""h",,,,
9,Pickup - Full Sized,Ford,F150,2010,Unspecified,"430,669",,FordF1502010,6,9,300,301,302,303,304,305,,,,,,"3.2097""w X 1.1973""h",,,,
10,Pickup - Full Sized,Ford,F150,2017,Unspecified,"423,199",,FordF1502017,6,10,602,603,604,605,606,607,,,,,,"3.2191""w X 1.1761""h",,,,
